COUNTRY,Country,SEX,Sex,AGE,Age,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.25007175599238,,
AUS,Australia,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.82679297915624,,
AUS,Australia,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,12.2243628627174,,
AUS,Australia,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,15.91838193148,,
CAN,Canada,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.31397449592377,,
CAN,Canada,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.72028946450992,,
CZE,Czech Republic,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.75558440014504,,
CZE,Czech Republic,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,9.86085089528136,,
CZE,Czech Republic,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,16.5033747368238,,
CZE,Czech Republic,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,18.783299693557,,
FIN,Finland,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.18152489496857,,
FIN,Finland,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.1436247600482,,
FIN,Finland,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,12.1291405261127,,
FIN,Finland,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,18.4639427008284,,
FRA,France,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.82829502193823,,
FRA,France,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,9.38849240800606,,
FRA,France,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,15.9730100104142,,
FRA,France,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,25.9763073438395,,
HUN,Hungary,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,6.78553776649237,,
HUN,Hungary,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,7.66316026998677,,
HUN,Hungary,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,16.4833699341895,,
HUN,Hungary,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,25.3344137962957,,
NOR,Norway,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.72940581327709,,
NOR,Norway,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.49200963917394,,
NOR,Norway,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.76126798308265,,
NOR,Norway,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,13.7540464638337,,
SVK,Slovak Republic,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,20.093193446515,,
SVK,Slovak Republic,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,23.5775819866394,,
SVK,Slovak Republic,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,31.4170405090371,,
SVK,Slovak Republic,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,33.6689720518208,,
USA,United States,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.8986730900547,,
USA,United States,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.14857156909241,,
USA,United States,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.99253177964758,,
USA,United States,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.58287202532046,,
CAN,Canada,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.04666646035996,,
CAN,Canada,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.87253331377935,,
