COUNTRY,Country,SEX,Sex,AGE,Age,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.25007175599238,,
AUS,Australia,MW,All persons,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,6.95925336657276,,
AUS,Australia,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.82679297915624,,
AUS,Australia,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,12.2243628627174,,
AUS,Australia,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,15.91838193148,,
AUS,Australia,MW,All persons,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,10.6975511644315,,
AUS,Australia,MEN,Men,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.38399982452392,,
AUS,Australia,MEN,Men,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,7.43514210594339,,
AUS,Australia,MEN,Men,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,9.57499980926513,,
AUS,Australia,MEN,Men,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,13.1794039738901,,
AUS,Australia,MEN,Men,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,16.242329961806,,
AUS,Australia,MEN,Men,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,11.3186896588312,,
AUS,Australia,WOMEN,Women,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.09000015258789,,
AUS,Australia,WOMEN,Women,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,6.36143028339525,,
AUS,Australia,WOMEN,Women,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,7.83400011062622,,
AUS,Australia,WOMEN,Women,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,11.3045198459452,,
AUS,Australia,WOMEN,Women,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,15.4592453521012,,
AUS,Australia,WOMEN,Women,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,10.0078398007285,,
CAN,Canada,MW,All persons,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.47294615431321,,
CAN,Canada,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.31397449592377,,
CAN,Canada,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.72028946450992,,
CAN,Canada,MW,All persons,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.09920096521683,,
CAN,Canada,MEN,Men,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.60028257458664,,
CAN,Canada,MEN,Men,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.58716817204462,,
CAN,Canada,MEN,Men,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.78277976667025,,
CAN,Canada,MEN,Men,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.28544909769727,,
CAN,Canada,WOMEN,Women,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.29079405289814,,
CAN,Canada,WOMEN,Women,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.98597876770449,,
CAN,Canada,WOMEN,Women,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.62907433705957,,
CAN,Canada,WOMEN,Women,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.85667280195919,,
CZE,Czech Republic,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.75558440014504,,
CZE,Czech Republic,MW,All persons,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.79776790427703,,
CZE,Czech Republic,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,9.86085089528136,,
CZE,Czech Republic,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,16.5033747368238,,
CZE,Czech Republic,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,18.783299693557,,
CZE,Czech Republic,MW,All persons,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,15.5711544319553,,
CZE,Czech Republic,MEN,Men,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.0809998512268,,
CZE,Czech Republic,MEN,Men,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.93411014836502,,
CZE,Czech Republic,MEN,Men,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,10.2829999923706,,
CZE,Czech Republic,MEN,Men,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,17.6440585657528,,
CZE,Czech Republic,MEN,Men,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,19.7766301430175,,
CZE,Czech Republic,MEN,Men,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,16.2294897061314,,
CZE,Czech Republic,WOMEN,Women,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,6.57999992370605,,
